,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
1018,1018,Allan Houston,NYK,28.0,198.12,90.7184,Tennessee,USA,1993,1,11,50,16.3,3.0,2.7,1.8,0.013,0.08,0.241,0.515,0.152,1998-99
1061,1061,David Wingate,NYK,35.0,195.58,84.821704,Georgetown,USA,1986,2,44,20,0.7,0.4,0.3,14.4,0.038,0.072,0.11,0.4379999999999999,0.086,1998-99
1103,1103,Kurt Thomas,NYK,26.0,205.74,104.32616,Texas Christian,USA,1995,1,10,50,8.1,5.7,1.1,-0.6,0.087,0.1989999999999999,0.2,0.489,0.091,1998-99
1108,1108,Larry Johnson,NYK,30.0,200.66,106.59412,Nevada-Las Vegas,USA,1991,1,1,49,12.0,5.8,2.4,4.0,0.07,0.131,0.182,0.5539999999999999,0.135,1998-99
1120,1120,Marcus Camby,NYK,25.0,210.82,102.0582,Massachusetts,USA,1996,1,2,46,7.2,5.5,0.3,0.6,0.136,0.19,0.181,0.537,0.025,1998-99
1122,1122,Latrell Sprewell,NYK,28.0,195.58,86.18248,Alabama,USA,1992,1,24,37,16.4,4.2,2.5,-1.5,0.04,0.11,0.263,0.503,0.148,1998-99
1155,1155,Rick Brunson,NYK,27.0,193.04,86.18248,Temple,USA,Undrafted,Undrafted,Undrafted,17,1.0,0.6,1.1,13.5,0.034,0.111,0.2,0.294,0.3329999999999999,1998-99
1168,1168,Patrick Ewing,NYK,36.0,213.36,115.66596,Georgetown,Jamaica,1985,1,1,38,17.3,9.9,1.1,1.8,0.068,0.246,0.28,0.491,0.068,1998-99
1291,1291,Herb Williams,NYK,41.0,210.82,117.93392,Ohio State,USA,1981,1,14,6,1.7,1.0,0.0,0.9,0.088,0.103,0.138,0.563,0.0,1998-99
1348,1348,David Wingate,NYK,36.0,195.58,83.91452,Georgetown,USA,1986,2,44,7,0.3,0.3,0.4,-29.0,0.033,0.031,0.145,0.111,0.188,1999-00
1349,1349,DeMarco Johnson,NYK,24.0,205.74,111.13004,North Carolina-Charlotte,USA,1998,2,38,5,1.2,1.4,0.0,-0.3,0.0969999999999999,0.105,0.154,0.3329999999999999,0.0,1999-00
1463,1463,Allan Houston,NYK,29.0,198.12,90.7184,Tennessee,USA,1993,1,11,82,19.7,3.3,2.7,2.6,0.015,0.085,0.24,0.569,0.13,1999-00
1470,1470,Andrew Lang,NYK,34.0,210.82,124.7378,Arkansas,USA,1988,2,28,19,3.1,3.2,0.2,0.7,0.076,0.198,0.14,0.44,0.021,1999-00
1527,1527,Charlie Ward,NYK,29.0,187.96,86.18248,Florida State,USA,1994,1,26,72,7.3,3.2,4.2,4.4,0.0139999999999999,0.1169999999999999,0.135,0.5589999999999999,0.2239999999999999,1999-00
1532,1532,Chris Childs,NYK,32.0,190.5,88.45044,Boise State,USA,Undrafted,Undrafted,Undrafted,71,5.3,2.1,4.0,-0.8,0.012,0.092,0.14,0.491,0.284,1999-00
1534,1534,Chris Dudley,NYK,35.0,210.82,117.93392,Yale,USA,1987,4,75,47,1.2,2.9,0.1,-9.1,0.161,0.19,0.096,0.349,0.017,1999-00
1571,1571,Rick Brunson,NYK,28.0,193.04,86.18248,Temple,USA,Undrafted,Undrafted,Undrafted,37,1.9,0.7,1.3,-9.3,0.013,0.093,0.173,0.456,0.292,1999-00
1649,1649,Kurt Thomas,NYK,27.0,205.74,104.32616,Texas Christian,USA,1995,1,10,80,8.0,6.3,1.0,2.9,0.093,0.209,0.17,0.542,0.07,1999-00
1656,1656,Larry Johnson,NYK,31.0,200.66,106.59412,Nevada-Las Vegas,USA,1991,1,1,70,10.7,5.4,2.5,2.0,0.046,0.151,0.173,0.517,0.127,1999-00
1657,1657,Latrell Sprewell,NYK,29.0,195.58,86.18248,Alabama,USA,1992,1,24,82,18.6,4.3,4.0,2.9,0.018,0.104,0.246,0.515,0.18,1999-00
1669,1669,Marcus Camby,NYK,26.0,210.82,102.0582,Massachusetts,USA,1996,1,2,59,10.2,7.8,0.8,4.8,0.136,0.209,0.193,0.529,0.053,1999-00
1679,1679,John Wallace,NYK,26.0,205.74,102.0582,Syracuse,USA,1996,1,18,60,6.5,2.3,0.4,-6.0,0.064,0.1369999999999999,0.26,0.52,0.055,1999-00
1714,1714,Patrick Ewing,NYK,37.0,213.36,115.66596,Georgetown,Jamaica,1985,1,1,62,15.0,9.7,0.9,2.9,0.085,0.265,0.243,0.516,0.051,1999-00
1850,1850,Felton Spencer,NYK,33.0,213.36,120.20188,Louisville,USA,1990,1,6,18,2.2,1.9,0.1,7.3,0.152,0.216,0.174,0.629,0.031,2000-01
1859,1859,Glen Rice,NYK,34.0,203.2,99.79024,Michigan,USA,1989,1,4,75,12.0,4.1,1.2,4.5,0.035,0.135,0.206,0.54,0.074,2000-01
1919,1919,Allan Houston,NYK,30.0,198.12,90.7184,Tennessee,USA,1993,1,11,78,18.7,3.6,2.2,2.2,0.009,0.107,0.256,0.5429999999999999,0.119,2000-01
1973,1973,Charlie Ward,NYK,30.0,187.96,86.18248,Florida State,USA,1994,1,26,61,7.1,2.6,4.5,6.3,0.026,0.1009999999999999,0.1669999999999999,0.536,0.297,2000-01
1981,1981,Mark Jackson,NYK,36.0,190.5,92.98636,St. John's (NY),USA,1987,1,18,83,7.6,3.7,8.0,0.4,0.0279999999999999,0.107,0.143,0.505,0.396,2000-01
1986,1986,Marcus Camby,NYK,27.0,210.82,102.0582,Massachusetts,USA,1996,1,2,63,12.0,11.5,0.8,2.3,0.115,0.29,0.171,0.5589999999999999,0.043,2000-01
1992,1992,Luc Longley,NYK,32.0,218.44,120.20188,New Mexico,USA,1991,1,7,25,2.0,2.6,0.3,6.6,0.103,0.145,0.136,0.3989999999999999,0.04,2000-01
1998,1998,Lavor Postell,NYK,23.0,195.58,92.98636,St. John's (NY),USA,2000,2,39,26,2.3,1.0,0.2,4.1,0.0579999999999999,0.1009999999999999,0.233,0.4479999999999999,0.0579999999999999,2000-01
1999,1999,Latrell Sprewell,NYK,30.0,195.58,86.18248,Alabama,USA,1992,1,24,77,17.7,4.5,3.5,2.1,0.02,0.1159999999999999,0.258,0.497,0.172,2000-01
2001,2001,Larry Johnson,NYK,32.0,200.66,106.59412,Nevada-Las Vegas,USA,1991,1,1,65,9.9,5.6,2.0,0.0,0.053,0.156,0.176,0.493,0.108,2000-01
2063,2063,Kurt Thomas,NYK,28.0,205.74,104.32616,Texas Christian,USA,1995,1,10,77,10.4,6.7,0.8,7.4,0.105,0.191,0.184,0.5660000000000001,0.052,2000-01
2119,2119,Travis Knight,NYK,26.0,213.36,106.59412,Connecticut,USA,1996,1,29,45,0.6,1.2,0.1,-1.1,0.088,0.15,0.135,0.238,0.038,2000-01
2162,2162,Othella Harrington,NYK,27.0,205.74,106.59412,Georgetown,USA,1996,2,30,74,9.0,5.2,0.8,-2.3,0.093,0.155,0.192,0.5489999999999999,0.052,2000-01
2191,2191,Rick Brunson,NYK,29.0,193.04,86.18248,Temple,USA,Undrafted,Undrafted,Undrafted,22,2.1,1.0,1.4,-3.0,0.026,0.091,0.166,0.38,0.287,2000-01
2237,2237,Othella Harrington,NYK,28.0,205.74,106.59412,Georgetown,USA,1996,2,30,77,7.7,4.5,0.5,1.5,0.1009999999999999,0.1639999999999999,0.188,0.5670000000000001,0.042,2001-02
2251,2251,Mark Jackson,NYK,37.0,190.5,88.45044,St. John's (NY),USA,1987,1,18,82,8.4,3.8,7.4,-6.7,0.027,0.126,0.154,0.536,0.405,2001-02
2283,2283,Marcus Camby,NYK,28.0,210.82,106.59412,Massachusetts,USA,1996,1,2,29,11.1,11.1,1.1,-5.1,0.103,0.2689999999999999,0.174,0.483,0.055,2001-02
2295,2295,Lavor Postell,NYK,24.0,195.58,97.52228,St. John's (NY),USA,2000,2,39,23,4.0,0.7,0.2,4.2,0.013,0.089,0.298,0.456,0.062,2001-02
2296,2296,Latrell Sprewell,NYK,31.0,195.58,88.45044,Alabama,USA,1992,1,24,81,19.4,3.7,3.9,-3.9,0.02,0.083,0.25,0.501,0.171,2001-02
2297,2297,Larry Robinson,NYK,34.0,190.5,81.64656,Centenary (LA),USA,Undrafted,Undrafted,Undrafted,2,1.5,1.0,0.0,9.5,0.0,0.25,0.162,0.375,0.0,2001-02
2303,2303,Kurt Thomas,NYK,29.0,205.74,106.59412,Texas Christian,USA,1995,1,10,82,13.9,9.1,1.1,-5.5,0.088,0.223,0.2019999999999999,0.542,0.057,2001-02
2310,2310,Travis Knight,NYK,27.0,213.36,106.59412,Connecticut,USA,1996,1,29,49,2.0,2.1,0.2,-10.5,0.121,0.15,0.162,0.401,0.034,2001-02
2407,2407,Shandon Anderson,NYK,28.0,198.12,95.25432,Georgia,USA,1996,2,54,82,5.0,3.0,0.9,-3.6,0.043,0.138,0.153,0.489,0.083,2001-02
2431,2431,Charlie Ward,NYK,31.0,187.96,83.91452,Florida State,USA,1994,1,26,63,5.2,2.0,3.2,-0.9,0.017,0.119,0.18,0.496,0.3389999999999999,2001-02
2444,2444,Clar. Weatherspoon,NYK,31.0,200.66,122.46984,Southern Mississippi,USA,1992,1,9,56,8.8,8.2,1.1,-5.9,0.0969999999999999,0.214,0.152,0.478,0.0579999999999999,2001-02
2490,2490,Allan Houston,NYK,31.0,198.12,90.7184,Tennessee,USA,1993,1,11,77,20.4,3.3,2.5,-6.3,0.015,0.086,0.258,0.54,0.123,2001-02
2542,2542,Howard Eisley,NYK,29.0,187.96,81.64656,Boston College,USA,1994,2,30,39,4.4,1.3,2.6,-0.1,0.018,0.074,0.1939999999999999,0.435,0.292,2001-02
2619,2619,Felton Spencer,NYK,34.0,213.36,131.54168,Louisville,USA,1990,1,6,32,0.9,1.6,0.1,-4.6,0.075,0.151,0.098,0.358,0.019,2001-02
2659,2659,Charlie Ward,NYK,32.0,187.96,83.91452,Florida State,USA,1994,1,26,66,7.2,2.7,4.6,1.8,0.019,0.122,0.165,0.54,0.326,2002-03
2692,2692,Clar. Weatherspoon,NYK,32.0,200.66,122.46984,Southern Mississippi,USA,1992,1,9,79,6.6,7.6,0.9,-2.8,0.1169999999999999,0.2239999999999999,0.128,0.522,0.053,2002-03
2718,2718,Allan Houston,NYK,32.0,198.12,90.7184,Tennessee,USA,1993,1,11,82,22.5,2.8,2.7,-1.6,0.01,0.079,0.2689999999999999,0.563,0.129,2002-03
2759,2759,Howard Eisley,NYK,30.0,187.96,81.64656,Boston College,USA,1994,2,30,82,9.1,2.3,5.4,-2.8,0.012,0.087,0.171,0.552,0.308,2002-03
2803,2803,Frank Williams,NYK,23.0,190.5,92.98636,Illinois,USA,2002,1,25,21,1.3,0.9,1.6,-29.2,0.02,0.119,0.146,0.3929999999999999,0.374,2002-03
2863,2863,Shandon Anderson,NYK,29.0,198.12,95.25432,Georgia,USA,1996,2,54,82,8.4,3.1,1.1,-1.2,0.043,0.13,0.1969999999999999,0.5529999999999999,0.086,2002-03
2956,2956,Travis Knight,NYK,28.0,213.36,106.59412,Connecticut,USA,1996,1,29,32,1.9,1.9,0.4,-3.4,0.069,0.18,0.127,0.424,0.08,2002-03
2963,2963,Latrell Sprewell,NYK,32.0,195.58,88.45044,Alabama,USA,1992,1,24,74,16.4,3.9,4.5,-2.8,0.018,0.1009999999999999,0.2269999999999999,0.497,0.196,2002-03
2964,2964,Lavor Postell,NYK,25.0,195.58,97.52228,St. John's (NY),USA,2000,2,39,12,3.6,0.3,0.3,-0.1,0.011,0.036,0.236,0.482,0.057,2002-03
2966,2966,Lee Nailon,NYK,28.0,205.74,107.954896,Texas Christian,USA,1999,2,43,38,5.5,1.8,0.7,-5.6,0.091,0.12,0.272,0.494,0.123,2002-03
2986,2986,Kurt Thomas,NYK,30.0,205.74,106.59412,Texas Christian,USA,1995,1,10,81,14.0,7.9,2.0,-1.1,0.071,0.2239999999999999,0.2239999999999999,0.511,0.11,2002-03
3023,3023,Othella Harrington,NYK,29.0,205.74,106.59412,Georgetown,USA,1996,2,30,74,7.7,6.4,0.8,-1.6,0.104,0.207,0.151,0.563,0.053,2002-03
3053,3053,Michael Doleac,NYK,26.0,210.82,118.841104,Utah,USA,1998,1,12,75,4.4,2.9,0.6,-5.3,0.076,0.173,0.187,0.451,0.068,2002-03
3067,3067,Michael Sweetney,NYK,21.0,203.2,117.93392,Georgetown,USA,2003,1,9,42,4.3,3.7,0.3,3.2,0.1689999999999999,0.212,0.184,0.544,0.049,2003-04
3090,3090,Moochie Norris,NYK,30.0,187.96,85.275296,West Florida,USA,1996,2,33,66,3.5,1.0,1.8,-1.9,0.015,0.0819999999999999,0.178,0.471,0.258,2003-04
3092,3092,Nazr Mohammed,NYK,26.0,208.28,113.398,Kentucky,USA,1998,1,29,80,7.4,5.9,0.5,-6.4,0.126,0.216,0.182,0.542,0.039,2003-04
3108,3108,Othella Harrington,NYK,30.0,205.74,106.59412,Georgetown,USA,1996,2,30,56,4.6,3.2,0.5,-4.4,0.079,0.1639999999999999,0.163,0.546,0.059,2003-04
3127,3127,Kurt Thomas,NYK,31.0,205.74,106.59412,Texas Christian,USA,1995,1,10,80,11.1,8.3,1.9,-0.4,0.067,0.2269999999999999,0.185,0.503,0.098,2003-04
3189,3189,Tim Thomas,NYK,27.0,208.28,108.86208,Villanova,USA,1997,1,7,66,14.7,4.8,1.9,0.7,0.034,0.14,0.2239999999999999,0.534,0.102,2003-04
3223,3223,Vin Baker,NYK,32.0,210.82,113.398,Hartford,USA,1993,1,8,54,9.8,5.2,1.2,-1.7,0.1009999999999999,0.144,0.204,0.53,0.09,2003-04
3231,3231,Stephon Marbury,NYK,27.0,187.96,92.98636,Georgia Tech,USA,1996,1,4,81,20.2,3.2,8.9,-0.9,0.02,0.072,0.255,0.519,0.385,2003-04
3272,3272,Shandon Anderson,NYK,30.0,198.12,95.25432,Georgia,USA,1996,2,54,80,7.9,2.8,1.5,-4.3,0.032,0.096,0.177,0.5,0.103,2003-04
3303,3303,Cezary Trybanski,NYK,24.0,218.44,108.86208,None,Poland,Undrafted,Undrafted,Undrafted,7,0.1,0.1,0.0,-53.8,0.0,0.125,0.258,0.102,0.0,2003-04
3341,3341,Bruno Sundov,NYK,24.0,218.44,111.583632,None,Croatia,1998,2,35,5,2.2,2.0,0.2,-9.9,0.063,0.267,0.24,0.435,0.091,2003-04
3350,3350,Anfernee Hardaway,NYK,32.0,200.66,97.52228,Memphis,USA,1993,1,3,76,9.2,3.8,2.3,-1.0,0.037,0.122,0.185,0.472,0.141,2003-04
3359,3359,Allan Houston,NYK,33.0,198.12,90.7184,Tennessee,USA,1993,1,11,50,18.5,2.4,2.0,-0.1,0.013,0.064,0.25,0.539,0.1009999999999999,2003-04
3397,3397,DerMarr Johnson,NYK,24.0,205.74,91.171992,Cincinnati,USA,2000,1,6,21,5.4,1.9,0.5,-6.4,0.021,0.145,0.207,0.511,0.071,2003-04
3471,3471,Dikembe Mutombo,NYK,38.0,218.44,120.20188,Georgetown,Congo,1991,1,4,65,5.6,6.7,0.4,-1.4,0.114,0.216,0.124,0.523,0.026,2003-04
3499,3499,Frank Williams,NYK,24.0,190.5,96.161504,Illinois,USA,2002,1,25,56,3.9,0.9,2.2,4.6,0.0139999999999999,0.07,0.198,0.478,0.2769999999999999,2003-04
3580,3580,Stephon Marbury,NYK,28.0,187.96,90.7184,Georgia Tech,USA,1996,1,4,82,21.7,3.0,8.1,-1.8,0.017,0.07,0.245,0.575,0.344,2004-05
3593,3593,Tim Thomas,NYK,28.0,208.28,108.86208,Villanova,USA,1997,1,7,71,12.0,3.3,1.5,-5.9,0.027,0.1159999999999999,0.213,0.536,0.093,2004-05
3610,3610,Trevor Ariza,NYK,20.0,203.2,90.7184,UCLA,USA,2004,2,43,80,5.9,3.0,1.1,-1.2,0.077,0.129,0.178,0.503,0.1009999999999999,2004-05
3663,3663,Allan Houston,NYK,34.0,198.12,92.98636,Tennessee,USA,1993,1,11,20,11.9,1.2,2.1,1.5,0.009,0.043,0.214,0.529,0.127,2004-05
3676,3676,Anfernee Hardaway,NYK,33.0,200.66,97.52228,Memphis,USA,1993,1,3,37,7.3,2.4,2.0,-6.6,0.025,0.096,0.1689999999999999,0.48,0.141,2004-05
3718,3718,Bruno Sundov,NYK,25.0,218.44,117.93392,None,Croatia,1998,2,35,21,1.2,0.6,0.1,-9.6,0.091,0.119,0.276,0.33,0.063,2004-05
3788,3788,Kurt Thomas,NYK,32.0,205.74,106.59412,Texas Christian,USA,1995,1,10,80,11.5,10.4,2.0,-3.4,0.068,0.271,0.165,0.488,0.09,2004-05
3801,3801,Jamal Crawford,NYK,25.0,195.58,86.18248,Michigan,USA,2000,1,8,70,17.7,2.9,4.3,-4.4,0.0139999999999999,0.075,0.226,0.521,0.19,2004-05
3810,3810,Jackie Butler,NYK,20.0,208.28,113.398,Southern Illinois,USA,Undrafted,Undrafted,Undrafted,3,3.3,0.0,0.0,5.1,0.0,0.0,0.595,1.025,0.0,2004-05
3832,3832,Jerome Williams,NYK,32.0,205.74,93.439952,Georgetown,USA,1996,1,26,79,4.5,3.6,0.5,0.5,0.114,0.17,0.144,0.563,0.055,2004-05
3836,3836,Jermaine Jackson,NYK,29.0,195.58,92.532768,Detroit Mercy,USA,Undrafted,Undrafted,Undrafted,21,2.0,1.1,1.1,-9.1,0.016,0.1159999999999999,0.105,0.542,0.186,2004-05
3853,3853,Jamison Brewer,NYK,24.0,193.04,88.45044,Auburn,USA,2001,2,40,18,1.7,1.2,0.7,-18.7,0.039,0.1159999999999999,0.143,0.363,0.118,2004-05
3936,3936,Malik Rose,NYK,30.0,200.66,111.13004,Drexel,USA,1996,2,44,76,7.0,4.5,0.8,-0.2,0.105,0.1689999999999999,0.195,0.511,0.07,2004-05
3946,3946,Maurice Taylor,NYK,28.0,205.74,115.66596,Michigan,USA,1997,1,14,65,7.3,4.0,1.0,-2.3,0.062,0.166,0.207,0.48,0.091,2004-05
3969,3969,Michael Sweetney,NYK,22.0,203.2,122.46984,Georgetown,USA,2003,1,9,77,8.4,5.4,0.6,-2.3,0.133,0.196,0.2,0.5920000000000001,0.05,2004-05
3974,3974,Eddy Curry,NYK,23.0,210.82,129.27372,None,USA,2001,1,4,72,13.6,6.0,0.3,-11.7,0.095,0.186,0.245,0.604,0.02,2005-06
4041,4041,Jerome James,NYK,30.0,215.9,127.00576,Florida A&M,USA,1998,2,36,44,3.1,2.1,0.3,-19.0,0.11,0.162,0.211,0.494,0.0579999999999999,2005-06
4065,4065,Ime Udoka,NYK,28.0,195.58,99.79024,Portland State,USA,Undrafted,Undrafted,Undrafted,8,2.8,2.1,0.8,-4.2,0.035,0.152,0.121,0.413,0.0819999999999999,2005-06
4068,4068,Jackie Butler,NYK,21.0,208.28,117.93392,Southern Illinois,USA,Undrafted,Undrafted,Undrafted,55,5.3,3.3,0.5,6.7,0.121,0.188,0.193,0.5870000000000001,0.0559999999999999,2005-06
4073,4073,Jalen Rose,NYK,33.0,203.2,97.52228,Michigan,USA,1994,1,13,72,12.3,2.9,2.5,-7.1,0.017,0.118,0.218,0.5379999999999999,0.158,2005-06
4076,4076,Jamal Crawford,NYK,26.0,195.58,86.18248,Michigan,USA,2000,1,8,79,14.3,3.1,3.8,-7.0,0.017,0.105,0.215,0.544,0.212,2005-06
4084,4084,David Lee,NYK,23.0,205.74,112.944408,Florida,USA,2005,1,30,67,5.1,4.5,0.6,-4.0,0.118,0.208,0.134,0.609,0.062,2005-06
4139,4139,Anfernee Hardaway,NYK,34.0,200.66,97.52228,Memphis,USA,1993,1,3,4,2.5,2.5,2.0,5.2,0.0,0.175,0.139,0.336,0.174,2005-06
4189,4189,Channing Frye,NYK,23.0,210.82,112.490816,Arizona,USA,2005,1,8,65,12.3,5.8,0.8,-2.6,0.1,0.183,0.236,0.541,0.066,2005-06
4230,4230,Quentin Richardson,NYK,26.0,198.12,104.32616,DePaul,USA,2000,1,18,55,8.2,4.2,1.6,-10.5,0.052,0.138,0.175,0.452,0.105,2005-06
4232,4232,Qyntel Woods,NYK,25.0,203.2,99.79024,Northeast Mississippi Community College,USA,2002,1,21,49,6.7,3.9,1.0,-4.7,0.053,0.183,0.157,0.5720000000000001,0.08,2005-06
4292,4292,Stephon Marbury,NYK,29.0,187.96,92.98636,Georgia Tech,USA,1996,1,4,60,16.3,2.9,6.4,-7.4,0.013,0.0819999999999999,0.218,0.532,0.305,2005-06
4294,4294,Steve Francis,NYK,29.0,190.5,90.7184,Maryland,USA,1999,1,2,70,14.4,4.1,4.9,-5.2,0.039,0.109,0.225,0.534,0.257,2005-06
4370,4370,Malik Rose,NYK,31.0,200.66,115.66596,Drexel,USA,1996,2,44,72,4.4,3.6,0.9,-12.9,0.088,0.204,0.17,0.466,0.099,2005-06
