,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
956,956,Chris Crawford,ATL,24.0,205.74,106.59412,Marquette,USA,1997,2,50,42,6.9,2.1,0.6,0.5,0.0559999999999999,0.077,0.205,0.504,0.059,1998-99
992,992,Tyrone Corbin,ATL,36.0,198.12,102.0582,DePaul,USA,1985,2,35,47,7.5,3.1,0.9,3.6,0.04,0.12,0.179,0.477,0.08,1998-99
1017,1017,Alan Henderson,ATL,26.0,205.74,106.59412,Indiana,USA,1995,1,16,38,12.5,6.6,0.7,-3.1,0.102,0.152,0.2239999999999999,0.485,0.048,1998-99
1030,1030,Anthony Johnson,ATL,24.0,190.5,86.18248,College of Charleston,USA,1997,2,39,49,5.0,1.5,2.2,-1.8,0.022,0.077,0.177,0.467,0.249,1998-99
1043,1043,Steven Smith,ATL,30.0,203.2,97.52228,Michigan State,USA,1991,1,5,36,18.7,4.2,3.3,9.8,0.047,0.086,0.265,0.526,0.178,1998-99
1067,1067,Mark West,ATL,38.0,208.28,111.583632,Old Dominion,USA,1983,2,30,49,1.2,2.6,0.3,-6.3,0.106,0.176,0.09,0.381,0.046,1998-99
1104,1104,LaPhonso Ellis,ATL,29.0,203.2,108.86208,Notre Dame,USA,1992,1,5,20,10.2,5.5,0.9,1.2,0.053,0.18,0.216,0.47,0.065,1998-99
1124,1124,Mookie Blaylock,ATL,32.0,185.42,83.91452,Oklahoma,USA,1989,1,12,48,13.3,4.7,5.8,6.2,0.03,0.118,0.214,0.4629999999999999,0.308,1998-99
1138,1138,Roshown McLeod,ATL,23.0,203.2,99.79024,Duke,USA,1998,1,20,34,4.8,1.5,0.4,-5.9,0.042,0.131,0.276,0.4429999999999999,0.09,1998-99
1218,1218,Grant Long,ATL,33.0,205.74,112.490816,Eastern Michigan,USA,1988,2,33,50,9.8,5.9,1.1,8.2,0.088,0.168,0.186,0.529,0.078,1998-99
1237,1237,Dikembe Mutombo,ATL,33.0,218.44,118.38751200000002,Georgetown,Congo,1991,1,4,50,10.8,12.2,1.1,6.0,0.127,0.265,0.144,0.584,0.0559999999999999,1998-99
1251,1251,Ed Gray,ATL,23.0,190.5,95.25432,California,USA,1997,1,22,30,4.9,0.9,0.4,-12.5,0.022,0.079,0.304,0.368,0.083,1998-99
1253,1253,Shammond Williams,ATL,24.0,185.42,91.171992,North Carolina,USA,1998,2,34,2,1.5,0.0,0.5,-42.9,0.0,0.0,0.294,0.5429999999999999,1.0,1998-99
1287,1287,Jeff Sheppard,ATL,24.0,190.5,86.18248,Kentucky,USA,Undrafted,Undrafted,Undrafted,17,2.4,1.3,0.9,-2.9,0.036,0.098,0.13,0.447,0.157,1998-99
1323,1323,Drew Barry,ATL,27.0,195.58,86.636072,Georgia Tech,USA,1996,2,57,16,2.6,0.8,2.1,-9.6,0.0,0.078,0.132,0.5820000000000001,0.33,1999-00
