,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
996,996,Will Perdue,SAS,33.0,213.36,108.86208,Vanderbilt,USA,1988,1,11,37,2.4,3.7,0.5,5.6,0.096,0.245,0.098,0.63,0.064,1998-99
1025,1025,Andrew Gaze,SAS,33.0,200.66,92.98636,Seton Hall,USA,Undrafted,Undrafted,Undrafted,19,1.1,0.3,0.3,27.4,0.038,0.048,0.206,0.42,0.182,1998-99
1036,1036,Antonio Daniels,SAS,24.0,193.04,90.7184,Bowling Green,USA,1997,1,4,47,4.7,1.1,2.3,10.1,0.025,0.07,0.192,0.52,0.31,1998-99
1044,1044,David Robinson,SAS,33.0,215.9,113.398,Navy,USA,1987,1,1,49,15.8,10.0,2.1,11.2,0.113,0.235,0.24,0.564,0.12,1998-99
1045,1045,Steve Kerr,SAS,33.0,190.5,82.10015200000001,Arizona,USA,1988,2,50,44,4.4,1.0,1.1,6.3,0.01,0.055,0.134,0.507,0.111,1998-99
1093,1093,Mario Elie,SAS,35.0,195.58,95.25432,American International,USA,1985,7,160,47,9.7,2.9,1.9,10.1,0.034,0.0819999999999999,0.161,0.593,0.1119999999999999,1998-99
1118,1118,Malik Rose,SAS,24.0,200.66,113.398,Drexel,USA,1996,2,44,47,6.0,3.9,0.6,7.0,0.174,0.1669999999999999,0.24,0.535,0.091,1998-99
1152,1152,Sean Elliott,SAS,31.0,203.2,99.79024,Arizona,USA,1989,1,3,50,11.2,4.3,2.3,6.2,0.027,0.124,0.198,0.493,0.132,1998-99
1213,1213,Gerard King,SAS,26.0,205.74,104.32616,Nicholls State,USA,Undrafted,Undrafted,Undrafted,19,1.2,0.7,0.2,5.7,0.102,0.1159999999999999,0.174,0.525,0.103,1998-99
1257,1257,Jerome Kersey,SAS,37.0,200.66,102.0582,Longwood,USA,1984,2,46,45,3.2,2.9,0.9,7.6,0.07,0.139,0.157,0.352,0.099,1998-99
1309,1309,Jaren Jackson,SAS,31.0,198.12,97.52228,Georgetown,USA,Undrafted,Undrafted,Undrafted,47,6.4,2.1,1.0,12.3,0.0289999999999999,0.0969999999999999,0.181,0.5,0.099,1998-99
1345,1345,Felton Spencer,SAS,32.0,213.36,120.20188,Louisville,USA,1990,1,6,26,1.9,1.5,0.1,-0.5,0.1159999999999999,0.185,0.1689999999999999,0.541,0.035,1999-00
1361,1361,Derrick Dial,SAS,24.0,193.04,83.46092800000001,Eastern Michigan,USA,1998,2,52,8,5.0,3.3,0.6,10.3,0.156,0.15,0.256,0.415,0.089,1999-00
1378,1378,Jaren Jackson,SAS,32.0,198.12,102.0582,Georgetown,USA,Undrafted,Undrafted,Undrafted,81,6.3,2.2,1.5,4.3,0.023,0.098,0.155,0.503,0.1119999999999999,1999-00
1390,1390,Jerome Kersey,SAS,38.0,200.66,111.13004,Longwood,USA,1984,2,46,72,4.5,3.1,1.0,6.4,0.051,0.138,0.149,0.431,0.086,1999-00
1427,1427,David Robinson,SAS,34.0,215.9,113.398,Navy,USA,1987,1,1,80,17.8,9.6,1.8,8.5,0.091,0.251,0.26,0.568,0.1009999999999999,1999-00
1435,1435,Avery Johnson,SAS,35.0,180.34,81.64656,Southern,USA,Undrafted,Undrafted,Undrafted,82,11.2,1.9,6.0,6.3,0.015,0.053,0.192,0.5,0.319,1999-00
1455,1455,Antonio Daniels,SAS,25.0,193.04,92.98636,Bowling Green,USA,1997,1,4,68,6.2,1.3,2.6,8.7,0.016,0.066,0.174,0.541,0.247,1999-00
1543,1543,Samaki Walker,SAS,24.0,205.74,117.93392,Louisville,USA,1996,1,9,71,5.1,3.8,0.5,2.5,0.09,0.218,0.1989999999999999,0.499,0.064,1999-00
1549,1549,Sean Elliott,SAS,32.0,203.2,99.79024,Arizona,USA,1989,1,3,19,6.0,2.5,1.5,10.6,0.02,0.1159999999999999,0.171,0.475,0.111,1999-00
1591,1591,Steve Kerr,SAS,34.0,190.5,81.64656,Arizona,USA,1988,2,50,32,2.8,0.6,0.4,0.8,0.012,0.062,0.144,0.564,0.078,1999-00
1625,1625,Terry Porter,SAS,37.0,190.5,92.98636,Wisconsin-Stevens Point,USA,1985,1,24,68,9.4,2.8,3.3,13.0,0.018,0.111,0.183,0.596,0.2269999999999999,1999-00
1628,1628,Tim Duncan,SAS,24.0,213.36,117.93392,Wake Forest,US Virgin Islands,1997,1,1,74,23.2,12.4,3.2,9.5,0.109,0.244,0.286,0.555,0.152,1999-00
1666,1666,Malik Rose,SAS,25.0,200.66,115.66596,Drexel,USA,1996,2,44,74,6.7,4.5,0.6,4.1,0.115,0.162,0.1939999999999999,0.525,0.061,1999-00
1671,1671,Mario Elie,SAS,36.0,195.58,102.0582,American International,USA,1985,7,160,79,7.5,3.2,2.4,6.6,0.026,0.098,0.136,0.565,0.13,1999-00
1790,1790,Danny Ferry,SAS,34.0,208.28,106.59412,Duke,USA,1989,1,2,80,5.6,2.8,0.9,12.9,0.04,0.107,0.122,0.5770000000000001,0.066,2000-01
1798,1798,David Robinson,SAS,35.0,215.9,113.398,Navy,USA,1987,1,1,80,14.4,8.6,1.5,13.2,0.102,0.216,0.2269999999999999,0.5589999999999999,0.087,2000-01
1807,1807,Derek Anderson,SAS,26.0,195.58,88.45044,Kentucky,USA,1997,1,13,82,15.5,4.4,3.7,12.7,0.031,0.107,0.218,0.542,0.177,2000-01
1811,1811,Derrick Dial,SAS,25.0,193.04,83.91452,Eastern Michigan,USA,1998,2,52,33,2.6,1.2,0.6,9.8,0.076,0.146,0.24,0.466,0.154,2000-01
1880,1880,Antonio Daniels,SAS,26.0,193.04,92.98636,Bowling Green,USA,1997,1,4,79,9.4,2.1,3.8,6.6,0.015,0.074,0.175,0.5670000000000001,0.246,2000-01
1887,1887,Avery Johnson,SAS,36.0,180.34,81.64656,Southern,USA,Undrafted,Undrafted,Undrafted,55,5.6,1.5,4.3,8.1,0.02,0.054,0.144,0.475,0.302,2000-01
