,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
989,989,Tom Gugliotta,PHX,29.0,208.28,108.86208,North Carolina State,USA,1992,1,6,43,17.0,8.9,2.8,4.9,0.095,0.188,0.222,0.545,0.134,1998-99
1021,1021,Alvin Sims,PHX,24.0,193.04,106.59412,Louisville,USA,Undrafted,Undrafted,Undrafted,4,2.8,1.0,1.3,-30.0,0.143,0.045,0.272,0.451,0.3329999999999999,1998-99
1051,1051,Shawn Respert,PHX,27.0,185.42,88.45044,Michigan State,USA,1995,1,8,12,3.1,1.1,0.7,-1.4,0.023,0.1159999999999999,0.218,0.4579999999999999,0.17,1998-99
1068,1068,Marko Milic,PHX,22.0,198.12,106.59412,None,Slovenia,1997,2,33,11,1.5,0.5,0.2,-19.5,0.061,0.044,0.2189999999999999,0.4,0.074,1998-99
1116,1116,Luc Longley,PHX,30.0,218.44,117.93392,New Mexico,USA,1991,1,7,39,8.7,5.7,1.2,4.8,0.072,0.2019999999999999,0.188,0.524,0.0819999999999999,1998-99
1157,1157,Rex Chapman,PHX,31.0,193.04,88.45044,Kentucky,USA,1988,1,8,38,12.1,2.7,2.9,4.3,0.011,0.091,0.215,0.46,0.149,1998-99
1167,1167,Pat Garrity,PHX,22.0,205.74,107.954896,Notre Dame,USA,1998,1,19,39,5.6,1.9,0.5,3.2,0.0579999999999999,0.107,0.185,0.557,0.055,1998-99
1179,1179,Randy Livingston,PHX,24.0,193.04,94.800728,Louisiana State,USA,1996,2,42,1,12.0,2.0,3.0,16.8,0.0,0.095,0.22,0.6759999999999999,0.25,1998-99
1210,1210,George McCloud,PHX,32.0,203.2,102.0582,Florida State,USA,1989,1,7,48,8.9,3.4,1.6,1.4,0.032,0.125,0.153,0.591,0.1009999999999999,1998-99
1211,1211,Gerald Brown,PHX,23.0,193.04,95.25432,Pepperdine,USA,Undrafted,Undrafted,Undrafted,33,2.4,0.7,0.9,-12.1,0.022,0.078,0.226,0.42,0.23,1998-99
1262,1262,Jimmy Oliver,PHX,29.0,195.58,92.98636,Purdue,USA,1991,2,39,2,1.5,0.0,0.0,2.1,0.0,0.0,0.131,0.5,0.0,1998-99
1264,1264,Joe Kleine,PHX,37.0,213.36,122.923432,Arkansas,USA,1985,1,6,31,2.2,2.2,0.4,-7.6,0.084,0.135,0.113,0.429,0.05,1998-99
1311,1311,Jason Kidd,PHX,26.0,193.04,96.161504,California,USA,1994,1,2,50,16.9,6.8,10.8,6.5,0.048,0.146,0.213,0.527,0.431,1998-99
1370,1370,Don MacLean,PHX,30.0,208.28,106.59412,UCLA,USA,1992,1,19,16,2.6,1.4,0.5,-8.5,0.043,0.138,0.179,0.407,0.1,1999-00
1380,1380,Jason Kidd,PHX,27.0,193.04,96.161504,California,USA,1994,1,2,67,14.3,7.2,10.1,5.8,0.0409999999999999,0.1639999999999999,0.1989999999999999,0.498,0.395,1999-00
1438,1438,Ben Davis,PHX,27.0,205.74,111.13004,Arizona,USA,1996,2,43,5,0.8,1.8,0.4,-30.9,0.125,0.375,0.188,0.3329999999999999,0.1669999999999999,1999-00
1471,1471,Anfernee Hardaway,PHX,28.0,200.66,97.52228,Memphis,USA,1993,1,3,60,16.9,5.8,5.3,8.8,0.047,0.121,0.212,0.5489999999999999,0.23,1999-00
1491,1491,Clifford Robinson,PHX,33.0,208.28,102.0582,Connecticut,USA,1989,2,36,80,18.5,4.5,2.8,4.6,0.042,0.096,0.2289999999999999,0.564,0.134,1999-00
1494,1494,Corie Blount,PHX,31.0,208.28,109.769264,Cincinnati,USA,1993,1,25,38,2.8,3.0,0.3,5.8,0.129,0.161,0.129,0.517,0.032,1999-00
1558,1558,Shawn Marion,PHX,22.0,200.66,97.52228,Nevada-Las Vegas,USA,1999,1,9,51,10.2,6.5,1.4,5.5,0.094,0.195,0.1939999999999999,0.511,0.089,1999-00
1568,1568,Rex Chapman,PHX,32.0,193.04,83.91452,Kentucky,USA,1988,1,8,53,6.6,1.5,1.2,-0.8,0.012,0.081,0.182,0.491,0.099,1999-00
1581,1581,Rodney Rogers,PHX,29.0,200.66,115.66596,Wake Forest,USA,1993,1,9,82,13.8,5.5,2.1,9.6,0.07,0.146,0.222,0.57,0.128,1999-00
1634,1634,Toby Bailey,PHX,24.0,198.12,96.615096,UCLA,USA,1998,2,45,46,3.5,1.6,0.7,3.5,0.063,0.1119999999999999,0.18,0.483,0.099,1999-00
1635,1635,Todd Day,PHX,30.0,198.12,85.275296,Arkansas,USA,1992,1,8,58,6.8,2.2,1.1,9.5,0.038,0.115,0.1969999999999999,0.524,0.105,1999-00
1638,1638,Tom Gugliotta,PHX,30.0,208.28,108.86208,North Carolina State,USA,1992,1,6,54,13.7,7.9,2.3,7.3,0.092,0.18,0.205,0.519,0.113,1999-00
1664,1664,Luc Longley,PHX,31.0,218.44,117.93392,New Mexico,USA,1991,1,7,72,6.3,4.5,1.1,0.5,0.078,0.171,0.182,0.512,0.086,1999-00
1697,1697,Kevin Johnson,PHX,34.0,185.42,86.18248,California,USA,1987,1,7,6,6.7,2.7,4.0,21.3,0.0,0.131,0.16,0.644,0.324,1999-00
1709,1709,Oliver Miller,PHX,30.0,205.74,142.88148,Arkansas,USA,1992,1,22,51,6.3,5.1,1.3,6.0,0.093,0.1669999999999999,0.1369999999999999,0.609,0.095,1999-00
1725,1725,Randy Livingston,PHX,25.0,193.04,94.800728,Louisiana State,USA,1996,2,42,79,4.8,1.6,2.2,1.4,0.026,0.109,0.203,0.476,0.254,1999-00
1732,1732,Mark West,PHX,39.0,208.28,104.32616,Old Dominion,USA,1983,2,30,22,0.7,1.4,0.1,-4.1,0.048,0.217,0.075,0.483,0.023,1999-00
1781,1781,Elliot Perry,PHX,32.0,182.88,68.945984,Memphis,USA,1991,2,37,49,3.0,0.9,1.6,3.3,0.02,0.083,0.166,0.491,0.248,2000-01
1789,1789,Daniel Santiago,PHX,25.0,215.9,116.119552,Saint Vincent,Puerto Rico,Undrafted,Undrafted,Undrafted,54,3.1,1.9,0.2,0.4,0.068,0.132,0.156,0.528,0.03,2000-01
1833,1833,Vinny Del Negro,PHX,34.0,193.04,90.7184,North Carolina State,USA,1988,2,29,65,3.9,1.3,1.9,-2.1,0.0139999999999999,0.091,0.1369999999999999,0.501,0.213,2000-01
1871,1871,Anfernee Hardaway,PHX,29.0,200.66,97.52228,Memphis,USA,1993,1,3,4,9.8,4.5,3.8,-3.1,0.045,0.13,0.173,0.477,0.2239999999999999,2000-01
1906,1906,Jake Tsakalidis,PHX,22.0,218.44,129.27372,None,Greece,2000,1,25,57,4.5,4.2,0.3,-3.1,0.0969999999999999,0.187,0.155,0.502,0.033,2000-01
1938,1938,Clifford Robinson,PHX,34.0,208.28,102.0582,Connecticut,USA,1989,2,36,82,16.4,4.1,2.9,2.2,0.043,0.095,0.251,0.501,0.155,2000-01
1950,1950,Chris Dudley,PHX,36.0,210.82,117.93392,Yale,USA,1987,4,75,53,1.4,3.5,0.3,1.5,0.114,0.2239999999999999,0.084,0.405,0.04,2000-01
1984,1984,Mario Elie,PHX,37.0,195.58,102.0582,American International,USA,1985,7,160,68,4.4,2.3,1.9,2.4,0.0279999999999999,0.09,0.1009999999999999,0.541,0.133,2000-01
2051,2051,Jason Kidd,PHX,28.0,193.04,96.161504,California,USA,1994,1,2,77,16.9,6.4,9.8,2.0,0.033,0.151,0.2269999999999999,0.51,0.419,2000-01
2102,2102,Shawn Marion,PHX,23.0,200.66,97.52228,Nevada-Las Vegas,USA,1999,1,9,79,17.3,10.7,2.0,4.8,0.086,0.254,0.222,0.532,0.102,2000-01
2126,2126,Tony Delk,PHX,27.0,187.96,85.728888,Kentucky,USA,1996,1,16,82,12.3,3.2,2.0,2.0,0.038,0.093,0.217,0.49,0.118,2000-01
2142,2142,Tom Gugliotta,PHX,31.0,208.28,108.86208,North Carolina State,USA,1992,1,6,57,6.4,4.5,1.0,2.1,0.071,0.178,0.179,0.437,0.078,2000-01
2185,2185,Rodney Rogers,PHX,30.0,200.66,115.66596,Wake Forest,USA,1993,1,9,82,12.2,4.4,2.2,1.3,0.049,0.144,0.2319999999999999,0.507,0.145,2000-01
2219,2219,Milt Palacio,PHX,24.0,190.5,88.45044,Colorado State,Belize,Undrafted,Undrafted,Undrafted,69,3.3,1.1,1.2,-4.5,0.015,0.095,0.17,0.4679999999999999,0.1889999999999999,2001-02
2272,2272,John Wallace,PHX,28.0,205.74,102.0582,Syracuse,USA,1996,1,18,46,5.0,1.8,0.6,-6.9,0.064,0.136,0.24,0.493,0.099,2001-02
2320,2320,Tom Gugliotta,PHX,32.0,208.28,108.86208,North Carolina State,USA,1992,1,6,44,6.5,5.0,1.8,-1.2,0.057,0.161,0.15,0.449,0.1,2001-02
2353,2353,Vinny Del Negro,PHX,35.0,193.04,83.91452,North Carolina State,USA,1988,2,29,2,1.0,0.0,1.0,-3.1,0.0,0.0,0.405,0.25,0.667,2001-02
2395,2395,Stephon Marbury,PHX,25.0,187.96,81.64656,Georgia Tech,USA,1996,1,4,82,20.4,3.2,8.1,-1.7,0.026,0.069,0.265,0.519,0.355,2001-02
2401,2401,Shawn Marion,PHX,24.0,200.66,97.52228,Nevada-Las Vegas,USA,1999,1,9,81,19.1,9.9,2.0,0.0,0.075,0.217,0.235,0.518,0.091,2001-02
2418,2418,Joe Johnson,PHX,21.0,200.66,102.0582,Arkansas,USA,2001,1,10,77,7.5,3.3,2.3,-0.4,0.042,0.106,0.162,0.478,0.151,2001-02
2456,2456,Daniel Santiago,PHX,26.0,215.9,116.119552,Saint Vincent,Puerto Rico,Undrafted,Undrafted,Undrafted,3,2.7,2.3,0.7,-21.1,0.0,0.292,0.185,0.5,0.2,2001-02
2470,2470,Dan Majerle,PHX,36.0,198.12,100.697424,Central Michigan,USA,1988,1,14,65,4.6,2.7,1.4,1.9,0.026,0.142,0.129,0.49,0.1119999999999999,2001-02
2480,2480,Anfernee Hardaway,PHX,30.0,200.66,97.52228,Memphis,USA,1993,1,3,80,12.0,4.4,4.1,-1.9,0.044,0.119,0.218,0.472,0.211,2001-02
2487,2487,Alton Ford,PHX,21.0,205.74,124.7378,Houston,USA,2001,2,50,53,3.1,2.0,0.1,-8.7,0.085,0.193,0.175,0.573,0.027,2001-02
2516,2516,Bo Outlaw,PHX,31.0,203.2,95.25432,Houston,USA,Undrafted,Undrafted,Undrafted,83,4.5,4.4,1.5,2.1,0.088,0.128,0.104,0.547,0.0969999999999999,2001-02
2531,2531,Jake Voskuhl,PHX,24.0,210.82,111.13004,Connecticut,USA,2000,2,33,59,5.0,4.2,0.3,-4.2,0.127,0.193,0.144,0.614,0.031,2001-02
2532,2532,Jake Tsakalidis,PHX,23.0,218.44,129.27372,None,Greece,2000,1,25,67,7.3,5.6,0.3,1.1,0.09,0.171,0.156,0.522,0.022,2001-02
2556,2556,Joe Crispin,PHX,22.0,182.88,83.91452,Penn State,USA,Undrafted,Undrafted,Undrafted,21,3.8,0.5,1.2,-5.3,0.0139999999999999,0.068,0.239,0.536,0.2769999999999999,2001-02
2645,2645,Joe Johnson,PHX,22.0,200.66,106.59412,Arkansas,USA,2001,1,10,82,9.8,3.2,2.6,1.4,0.0279999999999999,0.104,0.191,0.472,0.151,2002-03
2663,2663,Casey Jacobsen,PHX,22.0,198.12,97.52228,Stanford,USA,2002,1,22,72,5.1,1.2,1.0,4.3,0.0279999999999999,0.054,0.166,0.493,0.1009999999999999,2002-03
2709,2709,Anfernee Hardaway,PHX,31.0,200.66,97.52228,Memphis,USA,1993,1,3,58,10.6,4.4,4.1,0.5,0.043,0.123,0.192,0.499,0.21,2002-03
2713,2713,Amar'e Stoudemire,PHX,20.0,208.28,111.13004,None,USA,2002,1,9,82,13.5,8.8,1.0,-0.8,0.109,0.206,0.214,0.53,0.05,2002-03
2716,2716,Alton Ford,PHX,22.0,205.74,127.00576,Houston,USA,2001,2,50,11,0.6,0.5,0.1,-16.7,0.0,0.207,0.183,0.3389999999999999,0.071,2002-03
2739,2739,Bo Outlaw,PHX,32.0,203.2,99.79024,Houston,USA,Undrafted,Undrafted,Undrafted,80,4.7,4.6,1.4,5.9,0.086,0.145,0.103,0.574,0.094,2002-03
2752,2752,Dan Langhi,PHX,25.0,210.82,99.79024,Vanderbilt,USA,2000,2,31,60,3.1,1.5,0.4,11.1,0.039,0.148,0.192,0.434,0.061,2002-03
2777,2777,Jake Tsakalidis,PHX,24.0,218.44,131.54168,None,Greece,2000,1,25,33,4.9,3.7,0.4,-6.4,0.091,0.16,0.153,0.501,0.038,2002-03
