,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
881,881,Brian Shaw,POR,33.0,198.12,90.7184,California-Santa Barbara,USA,1988,1,24,1,0.0,1.0,1.0,-31.2,0.0,0.25,0.154,0.0,0.3329999999999999,1998-99
882,882,Brian Grant,POR,27.0,205.74,115.212368,Xavier,USA,1994,1,8,48,11.5,9.8,1.4,8.4,0.138,0.222,0.174,0.5710000000000001,0.073,1998-99
895,895,Carlos Rogers,POR,28.0,210.82,99.79024,Tennessee State,USA,1994,1,11,2,2.5,0.5,0.5,24.9,0.0,0.091,0.2289999999999999,0.665,0.2,1998-99
906,906,Arvydas Sabonis,POR,34.0,220.98,132.448864,None,Lithuania,1986,1,24,50,12.1,7.9,2.4,4.4,0.078,0.254,0.2189999999999999,0.546,0.156,1998-99
922,922,Bonzi Wells,POR,22.0,195.58,95.25432,Ball State,USA,1998,1,11,7,4.4,1.3,0.4,-8.0,0.125,0.125,0.389,0.555,0.231,1998-99
944,944,Damon Stoudamire,POR,25.0,177.8,77.56423199999999,Arizona,USA,1995,1,7,50,12.6,3.3,6.2,2.0,0.0289999999999999,0.084,0.215,0.462,0.322,1998-99
999,999,Walt Williams,POR,29.0,203.2,104.32616,Maryland,USA,1992,1,7,48,9.3,3.0,1.7,9.8,0.0409999999999999,0.113,0.196,0.5660000000000001,0.132,1998-99
1049,1049,Stacey Augmon,POR,30.0,203.2,92.98636,Nevada-Las Vegas,USA,1991,1,9,48,4.3,2.6,1.2,8.6,0.066,0.1009999999999999,0.128,0.501,0.109,1998-99
1181,1181,Rasheed Wallace,POR,24.0,210.82,102.0582,North Carolina,USA,1995,1,4,49,12.8,4.9,1.2,10.6,0.05,0.145,0.206,0.5660000000000001,0.076,1998-99
1189,1189,Kelvin Cato,POR,24.0,210.82,115.66596,Iowa State,USA,1997,1,15,43,3.5,3.5,0.4,8.6,0.104,0.195,0.154,0.476,0.059,1998-99
1206,1206,Gary Grant,POR,34.0,190.5,83.91452,Michigan,USA,1988,1,15,2,0.0,0.0,1.5,66.6,0.0,0.0,0.073,0.0,0.5,1998-99
